"m_id","m_contenu","m_date","m_auteur_fk","m_conversation_fk","u_id","u_login","u_prenom","u_nom","u_date_naissance","u_date_inscription","u_rang_fk","r_id","r_libelle","c_id","c_date","c_termine"
"1620","lorem, sit amet ultricies sem magna nec quam. Curabitur vel lectus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec dignissim magna a tortor.","2010-08-21 15:30:41","38","10","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","10","2011-03-31 05:58:52","0"
"1654","diam luctus lobortis. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos hymenaeos.","2011-01-28 23:37:06","38","9","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","9","2009-08-27 15:14:05","0"
"1790","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus.","2014-01-31 02:56:55","38","11","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","11","2010-07-05 15:49:34","0"
"1872","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2010-12-08 18:57:44","38","6","38","natoque.penatibus@feugiatplace","Bell","Cervantes","1979-09-22","2010-09-29 01:30:00","2","2","admin","6","2009-03-05 00:00:00","0"
"1123","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2009-10-30 17:22:11","48","5","48","erat@dictumsapien.ca","Melodie","Mejia","1964-09-14","2010-03-25 19:40:23","2","2","admin","5","2010-03-05 00:00:00","0"
"1434","conubia nostra, per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula.","2013-05-23 02:38:22","48","10","48","erat@dictumsapien.ca","Melodie","Mejia","1964-09-14","2010-03-25 19:40:23","2","2","admin","10","2011-03-31 05:58:52","0"
"1571","Phasellus nulla. Integer vulputate, risus a ultricies adipiscing, enim mi tempor lorem, eget mollis lectus pede et risus.","2011-11-01 09:00:36","48","8","48","erat@dictumsapien.ca","Melodie","Mejia","1964-09-14","2010-03-25 19:40:23","2","2","admin","8","2011-02-21 23:00:35","0"
"1761","Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris,","2011-08-22 05:03:49","48","11","48","erat@dictumsapien.ca","Melodie","Mejia","1964-09-14","2010-03-25 19:40:23","2","2","admin","11","2010-07-05 15:49:34","0"
"1923","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2009-10-30 17:22:11","48","5","48","erat@dictumsapien.ca","Melodie","Mejia","1964-09-14","2010-03-25 19:40:23","2","2","admin","5","2010-03-05 00:00:00","0"
"205","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer","2011-07-19 22:41:42","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"207","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu","2010-05-20 23:55:25","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"216","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet","2013-01-30 08:07:49","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"227","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut","2014-04-23 01:35:53","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"228","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2011-12-02 19:34:34","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"251","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien,","2010-03-31 21:03:29","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"253","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut","2009-07-09 08:47:52","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"277","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec","2010-10-12 04:12:45","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"279","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque","2011-08-29 21:47:29","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"281","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non,","2012-09-02 11:16:31","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"295","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.","2012-07-10 18:22:41","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"308","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2009-11-29 18:22:03","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"317","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2009-08-01 13:46:05","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"332","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien,","2013-01-24 03:21:29","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"338","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna","2010-12-03 03:05:11","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"340","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet","2010-02-08 17:38:27","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"344","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida","2010-01-14 01:14:16","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"346","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2011-02-02 12:11:50","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"360","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2012-06-13 06:07:42","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"367","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2014-05-09 07:44:22","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"377","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu","2013-10-23 00:09:54","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"378","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2012-12-03 01:43:18","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"410","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","2012-02-10 18:23:55","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"419","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2010-04-11 15:34:00","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"435","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2011-05-13 19:38:28","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"438","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing","2010-08-22 12:21:19","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"451","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.","2013-07-19 20:11:56","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"452","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec","2010-01-26 01:36:04","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"462","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing","2012-06-20 07:35:51","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"492","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida","2011-07-16 03:18:13","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"494","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2012-02-25 18:43:36","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"498","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis","2013-09-11 22:07:32","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"520","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus.","2010-11-12 20:56:39","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"525","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida","2009-12-02 01:43:01","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"552","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet","2013-02-11 22:38:37","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"560","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam","2013-10-21 02:28:27","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"564","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus.","2011-03-29 19:20:49","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"570","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper.","2014-03-19 19:56:26","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"584","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec","2009-08-01 11:27:39","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"588","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer","2009-12-26 12:41:37","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"591","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna","2009-11-26 18:56:56","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
"594","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed tortor. Integer aliquam adipiscing lacus. Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus","2012-08-17 12:33:28","58","3","58","tellus.lorem.eu@sagittissemper","Amethyst","Wong","1968-11-30","2010-09-09 11:27:26","2","2","admin","3","2009-09-05 10:25:15","0"
